year,sex,money_measure,education,avg_income,color,idtf,error
2010,Male,Current Dollars,"Some high school, no completion",29440,darkred,"Male Some high school, no completion",(684)
2011,Male,Current Dollars,"Some high school, no completion",30420,darkred,"Male Some high school, no completion",(300)
2012,Male,Current Dollars,"Some high school, no completion",30330,darkred,"Male Some high school, no completion",(430)
2013,Male,Current Dollars,"Some high school, no completion",30570,darkred,"Male Some high school, no completion",(551)
2014,Male,Current Dollars,"Some high school, no completion",30840,darkred,"Male Some high school, no completion",(382)
2015,Male,Current Dollars,"Some high school, no completion",32140,darkred,"Male Some high school, no completion",(320)
2016,Male,Current Dollars,"Some high school, no completion",32490,darkred,"Male Some high school, no completion","(1,237)"
2017,Male,Current Dollars,"Some high school, no completion",34620,darkred,"Male Some high school, no completion","(1,249)"
2018,Male,Current Dollars,"Some high school, no completion",35600,darkred,"Male Some high school, no completion",(406)
2019,Male,Current Dollars,"Some high school, no completion",37150,darkred,"Male Some high school, no completion",(826)
1990,Female,Current Dollars,"Some high school, no completion",14430,steelblue,"Female Some high school, no completion",(---)
1995,Female,Current Dollars,"Some high school, no completion",15830,steelblue,"Female Some high school, no completion",(293)
2000,Female,Current Dollars,"Some high school, no completion",17920,steelblue,"Female Some high school, no completion",(434)
2001,Female,Current Dollars,"Some high school, no completion",19160,steelblue,"Female Some high school, no completion",(359)
2002,Female,Current Dollars,"Some high school, no completion",19310,steelblue,"Female Some high school, no completion",(360)
2003,Female,Current Dollars,"Some high school, no completion",18940,steelblue,"Female Some high school, no completion",(327)
2004,Female,Current Dollars,"Some high school, no completion",19160,steelblue,"Female Some high school, no completion",(319)
2005,Female,Current Dollars,"Some high school, no completion",20130,steelblue,"Female Some high school, no completion",(274)
2006,Female,Current Dollars,"Some high school, no completion",20130,steelblue,"Female Some high school, no completion",(270)
2007,Female,Current Dollars,"Some high school, no completion",20400,steelblue,"Female Some high school, no completion",(292)
2008,Female,Current Dollars,"Some high school, no completion",20410,steelblue,"Female Some high school, no completion",(295)
2009,Female,Current Dollars,"Some high school, no completion",21230,steelblue,"Female Some high school, no completion",(301)
2010,Female,Current Dollars,"Some high school, no completion",20880,steelblue,"Female Some high school, no completion",(334)
2011,Female,Current Dollars,"Some high school, no completion",21110,steelblue,"Female Some high school, no completion",(131)
2012,Female,Current Dollars,"Some high school, no completion",21390,steelblue,"Female Some high school, no completion",(285)
2013,Female,Current Dollars,"Some high school, no completion",22250,steelblue,"Female Some high school, no completion",(544)
2014,Female,Current Dollars,"Some high school, no completion",21990,steelblue,"Female Some high school, no completion",(322)
