year,sex,money_measure,education,avg_income,color,idtf,error
2008,Female,Constant 2019 Dollars,Master's degree,68290,steelblue,Female Master's degree,(885)
2009,Female,Constant 2019 Dollars,Master's degree,72770,steelblue,Female Master's degree,(362)
2010,Female,Constant 2019 Dollars,Master's degree,69290,steelblue,Female Master's degree,"(1,197)"
2011,Female,Constant 2019 Dollars,Master's degree,68540,steelblue,Female Master's degree,(606)
2012,Female,Constant 2019 Dollars,Master's degree,67840,steelblue,Female Master's degree,(517)
2013,Female,Constant 2019 Dollars,Master's degree,67250,steelblue,Female Master's degree,(616)
2014,Female,Constant 2019 Dollars,Master's degree,65690,steelblue,Female Master's degree,(477)
2015,Female,Constant 2019 Dollars,Master's degree,67280,steelblue,Female Master's degree,"(1,224)"
2016,Female,Constant 2019 Dollars,Master's degree,69140,steelblue,Female Master's degree,"(1,162)"
2017,Female,Constant 2019 Dollars,Master's degree,71450,steelblue,Female Master's degree,"(1,590)"
2018,Female,Constant 2019 Dollars,Master's degree,67950,steelblue,Female Master's degree,(592)
2019,Female,Constant 2019 Dollars,Master's degree,70810,steelblue,Female Master's degree,(543)
1990,Male,Current Dollars,Professional degree,NA,darkred,Male Professional degree,(†)
1995,Male,Current Dollars,Professional degree,79670,darkred,Male Professional degree,"(2,582)"
2000,Male,Current Dollars,Professional degree,99410,darkred,Male Professional degree,"(20,832)"
2001,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2002,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2003,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2004,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2005,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2006,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2007,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2008,Male,Current Dollars,Professional degree,100000,darkred,Male Professional degree,(---)
2009,Male,Current Dollars,Professional degree,123240,darkred,Male Professional degree,"(2,539)"
2010,Male,Current Dollars,Professional degree,115300,darkred,Male Professional degree,"(4,891)"
2011,Male,Current Dollars,Professional degree,119470,darkred,Male Professional degree,"(1,917)"
2012,Male,Current Dollars,Professional degree,116350,darkred,Male Professional degree,"(5,632)"
2013,Male,Current Dollars,Professional degree,126730,darkred,Male Professional degree,"(8,647)"
2014,Male,Current Dollars,Professional degree,121750,darkred,Male Professional degree,"(5,986)"
2015,Male,Current Dollars,Professional degree,131190,darkred,Male Professional degree,"(7,197)"
2016,Male,Current Dollars,Professional degree,117550,darkred,Male Professional degree,"(7,311)"
2017,Male,Current Dollars,Professional degree,127230,darkred,Male Professional degree,"(5,441)"
2018,Male,Current Dollars,Professional degree,135440,darkred,Male Professional degree,"(10,136)"
2019,Male,Current Dollars,Professional degree,150100,darkred,Male Professional degree,"(7,151)"
1990,Female,Current Dollars,Professional degree,NA,steelblue,Female Professional degree,(†)
1995,Female,Current Dollars,Professional degree,50000,steelblue,Female Professional degree,"(2,532)"
2000,Female,Current Dollars,Professional degree,58960,steelblue,Female Professional degree,"(3,552)"
2001,Female,Current Dollars,Professional degree,61750,steelblue,Female Professional degree,"(3,976)"
2002,Female,Current Dollars,Professional degree,57020,steelblue,Female Professional degree,"(2,421)"
2003,Female,Current Dollars,Professional degree,66490,steelblue,Female Professional degree,"(3,469)"
2004,Female,Current Dollars,Professional degree,75040,steelblue,Female Professional degree,"(2,436)"
2005,Female,Current Dollars,Professional degree,80460,steelblue,Female Professional degree,"(2,774)"
2006,Female,Current Dollars,Professional degree,76240,steelblue,Female Professional degree,"(2,488)"
2007,Female,Current Dollars,Professional degree,71100,steelblue,Female Professional degree,(910)
2008,Female,Current Dollars,Professional degree,71300,steelblue,Female Professional degree,"(2,859)"
2009,Female,Current Dollars,Professional degree,83910,steelblue,Female Professional degree,"(3,210)"
2010,Female,Current Dollars,Professional degree,76740,steelblue,Female Professional degree,"(2,723)"
2011,Female,Current Dollars,Professional degree,80720,steelblue,Female Professional degree,(135)
2012,Female,Current Dollars,Professional degree,94470,steelblue,Female Professional degree,"(6,655)"
2013,Female,Current Dollars,Professional degree,85400,steelblue,Female Professional degree,"(6,196)"
2014,Female,Current Dollars,Professional degree,91810,steelblue,Female Professional degree,"(8,587)"
2015,Female,Current Dollars,Professional degree,82470,steelblue,Female Professional degree,"(5,049)"
2016,Female,Current Dollars,Professional degree,92030,steelblue,Female Professional degree,"(4,468)"
2017,Female,Current Dollars,Professional degree,100180,steelblue,Female Professional degree,"(4,817)"
2018,Female,Current Dollars,Professional degree,99780,steelblue,Female Professional degree,"(7,090)"
2019,Female,Current Dollars,Professional degree,102460,steelblue,Female Professional degree,"(9,619)"
1990,Male,Constant 2019 Dollars,Professional degree,NA,darkred,Male Professional degree,(†)
1995,Male,Constant 2019 Dollars,Professional degree,133660,darkred,Male Professional degree,"(4,332)"
2000,Male,Constant 2019 Dollars,Professional degree,147590,darkred,Male Professional degree,"(30,928)"
2001,Male,Constant 2019 Dollars,Professional degree,144380,darkred,Male Professional degree,(---)
2002,Male,Constant 2019 Dollars,Professional degree,142130,darkred,Male Professional degree,(---)
2003,Male,Constant 2019 Dollars,Professional degree,138980,darkred,Male Professional degree,(---)
2004,Male,Constant 2019 Dollars,Professional degree,135350,darkred,Male Professional degree,(---)
2005,Male,Constant 2019 Dollars,Professional degree,130910,darkred,Male Professional degree,(---)
2006,Male,Constant 2019 Dollars,Professional degree,126820,darkred,Male Professional degree,(---)
2007,Male,Constant 2019 Dollars,Professional degree,123300,darkred,Male Professional degree,(---)
2008,Male,Constant 2019 Dollars,Professional degree,118740,darkred,Male Professional degree,(---)
2009,Male,Constant 2019 Dollars,Professional degree,146860,darkred,Male Professional degree,"(3,026)"
2010,Male,Constant 2019 Dollars,Professional degree,135180,darkred,Male Professional degree,"(5,734)"
2011,Male,Constant 2019 Dollars,Professional degree,135790,darkred,Male Professional degree,"(2,179)"
2012,Male,Constant 2019 Dollars,Professional degree,129560,darkred,Male Professional degree,"(6,271)"
2013,Male,Constant 2019 Dollars,Professional degree,139070,darkred,Male Professional degree,"(9,490)"
2014,Male,Constant 2019 Dollars,Professional degree,131490,darkred,Male Professional degree,"(6,464)"
2015,Male,Constant 2019 Dollars,Professional degree,141510,darkred,Male Professional degree,"(7,763)"
2016,Male,Constant 2019 Dollars,Professional degree,125210,darkred,Male Professional degree,"(7,788)"
2017,Male,Constant 2019 Dollars,Professional degree,132700,darkred,Male Professional degree,"(5,675)"
2018,Male,Constant 2019 Dollars,Professional degree,137890,darkred,Male Professional degree,"(10,320)"
2019,Male,Constant 2019 Dollars,Professional degree,150100,darkred,Male Professional degree,"(7,151)"
1990,Female,Constant 2019 Dollars,Professional degree,NA,steelblue,Female Professional degree,(†)
1995,Female,Constant 2019 Dollars,Professional degree,83890,steelblue,Female Professional degree,"(4,248)"
2000,Female,Constant 2019 Dollars,Professional degree,87530,steelblue,Female Professional degree,"(5,273)"
2001,Female,Constant 2019 Dollars,Professional degree,89150,steelblue,Female Professional degree,"(5,741)"
2002,Female,Constant 2019 Dollars,Professional degree,81040,steelblue,Female Professional degree,"(3,441)"
2003,Female,Constant 2019 Dollars,Professional degree,92410,steelblue,Female Professional degree,"(4,821)"
2004,Female,Constant 2019 Dollars,Professional degree,101560,steelblue,Female Professional degree,"(3,297)"
2005,Female,Constant 2019 Dollars,Professional degree,105330,steelblue,Female Professional degree,"(3,631)"
2006,Female,Constant 2019 Dollars,Professional degree,96690,steelblue,Female Professional degree,"(3,155)"
2007,Female,Constant 2019 Dollars,Professional degree,87670,steelblue,Female Professional degree,"(1,122)"
2008,Female,Constant 2019 Dollars,Professional degree,84660,steelblue,Female Professional degree,"(3,395)"
2009,Female,Constant 2019 Dollars,Professional degree,99990,steelblue,Female Professional degree,"(3,825)"
2010,Female,Constant 2019 Dollars,Professional degree,89970,steelblue,Female Professional degree,"(3,193)"
2011,Female,Constant 2019 Dollars,Professional degree,91740,steelblue,Female Professional degree,(153)
2012,Female,Constant 2019 Dollars,Professional degree,105200,steelblue,Female Professional degree,"(7,410)"
2013,Female,Constant 2019 Dollars,Professional degree,93720,steelblue,Female Professional degree,"(6,800)"
2014,Female,Constant 2019 Dollars,Professional degree,99150,steelblue,Female Professional degree,"(9,273)"
2015,Female,Constant 2019 Dollars,Professional degree,88960,steelblue,Female Professional degree,"(5,446)"
2016,Female,Constant 2019 Dollars,Professional degree,98030,steelblue,Female Professional degree,"(4,759)"
2017,Female,Constant 2019 Dollars,Professional degree,104480,steelblue,Female Professional degree,"(5,024)"
2018,Female,Constant 2019 Dollars,Professional degree,101590,steelblue,Female Professional degree,"(7,218)"
2019,Female,Constant 2019 Dollars,Professional degree,102460,steelblue,Female Professional degree,"(9,619)"
1990,Male,Current Dollars,Doctor's degree,NA,darkred,Male Doctor's degree,(†)
1995,Male,Current Dollars,Doctor's degree,65340,darkred,Male Doctor's degree,"(2,188)"
2000,Male,Current Dollars,Doctor's degree,80250,darkred,Male Doctor's degree,"(2,446)"
2001,Male,Current Dollars,Doctor's degree,86970,darkred,Male Doctor's degree,"(3,013)"
2002,Male,Current Dollars,Doctor's degree,83310,darkred,Male Doctor's degree,"(2,076)"
2003,Male,Current Dollars,Doctor's degree,87130,darkred,Male Doctor's degree,"(2,528)"
2004,Male,Current Dollars,Doctor's degree,82400,darkred,Male Doctor's degree,"(2,423)"
2005,Male,Current Dollars,Doctor's degree,85860,darkred,Male Doctor's degree,"(3,061)"
2006,Male,Current Dollars,Doctor's degree,100000,darkred,Male Doctor's degree,(---)
2007,Male,Current Dollars,Doctor's degree,92090,darkred,Male Doctor's degree,"(1,894)"
2008,Male,Current Dollars,Doctor's degree,100000,darkred,Male Doctor's degree,(---)
2009,Male,Current Dollars,Doctor's degree,100740,darkred,Male Doctor's degree,(519)
2010,Male,Current Dollars,Doctor's degree,101220,darkred,Male Doctor's degree,(653)
2011,Male,Current Dollars,Doctor's degree,100770,darkred,Male Doctor's degree,(192)
2012,Male,Current Dollars,Doctor's degree,106470,darkred,Male Doctor's degree,"(4,656)"
2013,Male,Current Dollars,Doctor's degree,105280,darkred,Male Doctor's degree,"(4,631)"
2014,Male,Current Dollars,Doctor's degree,100710,darkred,Male Doctor's degree,(852)
2015,Male,Current Dollars,Doctor's degree,102340,darkred,Male Doctor's degree,"(4,801)"
2016,Male,Current Dollars,Doctor's degree,120430,darkred,Male Doctor's degree,"(4,017)"
2017,Male,Current Dollars,Doctor's degree,118450,darkred,Male Doctor's degree,"(4,152)"
2018,Male,Current Dollars,Doctor's degree,115790,darkred,Male Doctor's degree,"(5,892)"
2019,Male,Current Dollars,Doctor's degree,128650,darkred,Male Doctor's degree,"(4,977)"
1990,Female,Current Dollars,Doctor's degree,NA,steelblue,Female Doctor's degree,(†)
1995,Female,Current Dollars,Doctor's degree,48140,steelblue,Female Doctor's degree,"(2,373)"
2000,Female,Current Dollars,Doctor's degree,57080,steelblue,Female Doctor's degree,"(2,999)"
2001,Female,Current Dollars,Doctor's degree,62120,steelblue,Female Doctor's degree,"(2,228)"
2002,Female,Current Dollars,Doctor's degree,65720,steelblue,Female Doctor's degree,"(2,268)"
2003,Female,Current Dollars,Doctor's degree,67210,steelblue,Female Doctor's degree,"(2,462)"
2004,Female,Current Dollars,Doctor's degree,68880,steelblue,Female Doctor's degree,"(2,450)"
2005,Female,Current Dollars,Doctor's degree,66850,steelblue,Female Doctor's degree,"(2,490)"
2006,Female,Current Dollars,Doctor's degree,70520,steelblue,Female Doctor's degree,"(1,779)"
2007,Female,Current Dollars,Doctor's degree,68990,steelblue,Female Doctor's degree,"(2,155)"
2008,Female,Current Dollars,Doctor's degree,74030,steelblue,Female Doctor's degree,"(2,144)"
2009,Female,Current Dollars,Doctor's degree,76580,steelblue,Female Doctor's degree,(912)
2010,Female,Current Dollars,Doctor's degree,77390,steelblue,Female Doctor's degree,"(2,174)"
2011,Female,Current Dollars,Doctor's degree,77460,steelblue,Female Doctor's degree,(21)
2012,Female,Current Dollars,Doctor's degree,77900,steelblue,Female Doctor's degree,"(3,616)"
2013,Female,Current Dollars,Doctor's degree,75090,steelblue,Female Doctor's degree,"(3,515)"
2014,Female,Current Dollars,Doctor's degree,80540,steelblue,Female Doctor's degree,"(2,875)"
2015,Female,Current Dollars,Doctor's degree,82310,steelblue,Female Doctor's degree,"(3,752)"
2016,Female,Current Dollars,Doctor's degree,86370,steelblue,Female Doctor's degree,"(4,485)"
2017,Female,Current Dollars,Doctor's degree,92030,steelblue,Female Doctor's degree,"(3,137)"
2018,Female,Current Dollars,Doctor's degree,95170,steelblue,Female Doctor's degree,"(5,083)"
2019,Female,Current Dollars,Doctor's degree,101170,steelblue,Female Doctor's degree,(952)
1990,Male,Constant 2019 Dollars,Doctor's degree,NA,darkred,Male Doctor's degree,(†)
1995,Male,Constant 2019 Dollars,Doctor's degree,109620,darkred,Male Doctor's degree,"(3,671)"
2000,Male,Constant 2019 Dollars,Doctor's degree,119140,darkred,Male Doctor's degree,"(3,631)"
2001,Male,Constant 2019 Dollars,Doctor's degree,125560,darkred,Male Doctor's degree,"(4,350)"
2002,Male,Constant 2019 Dollars,Doctor's degree,118400,darkred,Male Doctor's degree,"(2,951)"
2003,Male,Constant 2019 Dollars,Doctor's degree,121090,darkred,Male Doctor's degree,"(3,513)"
2004,Male,Constant 2019 Dollars,Doctor's degree,111530,darkred,Male Doctor's degree,"(3,280)"
2005,Male,Constant 2019 Dollars,Doctor's degree,112400,darkred,Male Doctor's degree,"(4,007)"
2006,Male,Constant 2019 Dollars,Doctor's degree,126820,darkred,Male Doctor's degree,(---)
2007,Male,Constant 2019 Dollars,Doctor's degree,113550,darkred,Male Doctor's degree,"(2,335)"
2008,Male,Constant 2019 Dollars,Doctor's degree,118740,darkred,Male Doctor's degree,(---)
2009,Male,Constant 2019 Dollars,Doctor's degree,120050,darkred,Male Doctor's degree,(618)
2010,Male,Constant 2019 Dollars,Doctor's degree,118680,darkred,Male Doctor's degree,(766)
2011,Male,Constant 2019 Dollars,Doctor's degree,114530,darkred,Male Doctor's degree,(218)
2012,Male,Constant 2019 Dollars,Doctor's degree,118550,darkred,Male Doctor's degree,"(5,185)"
2013,Male,Constant 2019 Dollars,Doctor's degree,115540,darkred,Male Doctor's degree,"(5,082)"
2014,Male,Constant 2019 Dollars,Doctor's degree,108760,darkred,Male Doctor's degree,(920)
2015,Male,Constant 2019 Dollars,Doctor's degree,110380,darkred,Male Doctor's degree,"(5,179)"
2016,Male,Constant 2019 Dollars,Doctor's degree,128280,darkred,Male Doctor's degree,"(4,279)"
2017,Male,Constant 2019 Dollars,Doctor's degree,123540,darkred,Male Doctor's degree,"(4,330)"
2018,Male,Constant 2019 Dollars,Doctor's degree,117890,darkred,Male Doctor's degree,"(5,999)"
2019,Male,Constant 2019 Dollars,Doctor's degree,128650,darkred,Male Doctor's degree,"(4,977)"
1990,Female,Constant 2019 Dollars,Doctor's degree,NA,steelblue,Female Doctor's degree,(†)
1995,Female,Constant 2019 Dollars,Doctor's degree,80770,steelblue,Female Doctor's degree,"(3,981)"
2000,Female,Constant 2019 Dollars,Doctor's degree,84750,steelblue,Female Doctor's degree,"(4,452)"
2001,Female,Constant 2019 Dollars,Doctor's degree,89700,steelblue,Female Doctor's degree,"(3,217)"
2002,Female,Constant 2019 Dollars,Doctor's degree,93400,steelblue,Female Doctor's degree,"(3,224)"
2003,Female,Constant 2019 Dollars,Doctor's degree,93410,steelblue,Female Doctor's degree,"(3,422)"
2004,Female,Constant 2019 Dollars,Doctor's degree,93220,steelblue,Female Doctor's degree,"(3,316)"
2005,Female,Constant 2019 Dollars,Doctor's degree,87520,steelblue,Female Doctor's degree,"(3,260)"
2006,Female,Constant 2019 Dollars,Doctor's degree,89430,steelblue,Female Doctor's degree,"(2,256)"
2007,Female,Constant 2019 Dollars,Doctor's degree,85060,steelblue,Female Doctor's degree,"(2,657)"
2008,Female,Constant 2019 Dollars,Doctor's degree,87900,steelblue,Female Doctor's degree,"(2,546)"
2009,Female,Constant 2019 Dollars,Doctor's degree,91260,steelblue,Female Doctor's degree,"(1,087)"
2010,Female,Constant 2019 Dollars,Doctor's degree,90740,steelblue,Female Doctor's degree,"(2,549)"
2011,Female,Constant 2019 Dollars,Doctor's degree,88040,steelblue,Female Doctor's degree,(24)
2012,Female,Constant 2019 Dollars,Doctor's degree,86750,steelblue,Female Doctor's degree,"(4,026)"
2013,Female,Constant 2019 Dollars,Doctor's degree,82410,steelblue,Female Doctor's degree,"(3,858)"
2014,Female,Constant 2019 Dollars,Doctor's degree,86980,steelblue,Female Doctor's degree,"(3,105)"
2015,Female,Constant 2019 Dollars,Doctor's degree,88780,steelblue,Female Doctor's degree,"(4,047)"
2016,Female,Constant 2019 Dollars,Doctor's degree,92000,steelblue,Female Doctor's degree,"(4,777)"
2017,Female,Constant 2019 Dollars,Doctor's degree,95990,steelblue,Female Doctor's degree,"(3,272)"
2018,Female,Constant 2019 Dollars,Doctor's degree,96900,steelblue,Female Doctor's degree,"(5,175)"
2019,Female,Constant 2019 Dollars,Doctor's degree,101170,steelblue,Female Doctor's degree,(952)
